transaction_id,account_id,transaction_date,transaction_type,amount,merchant,city
1,671,5/8/2020,Payment,79.71,Google,Miami
2,838,7/6/2022,Payment,220.21,Target,Philadelphia
3,1038,8/6/2020,Withdrawal,23.01,Home Depot,New York
4,634,4/21/2021,Deposit,330.2,Apple,Charlotte
5,272,12/11/2024,Transfer,126.05,Exxon,New York
6,1049,1/21/2024,Deposit,130.54,Apple,New York
7,322,1/22/2020,Transfer,346.01,Walmart,Chicago
8,806,9/9/2024,Deposit,116.81,Google,Cleveland
9,1127,7/13/2021,Payment,396.56,Walmart,Philadelphia
10,883,9/20/2021,Transfer,363.36,Exxon,Cleveland
11,1064,10/15/2022,Withdrawal,183.31,Walmart,Charlotte
12,235,9/14/2023,Deposit,259.42,Shell,New York
13,832,9/10/2024,Payment,214.19,Starbucks,Chicago
14,1113,2/12/2024,Transfer,10.15,Starbucks,Chicago
15,1124,12/13/2024,Payment,413.51,Exxon,New York
16,144,12/4/2020,Deposit,161.62,Starbucks,Detroit
17,1106,6/27/2020,Withdrawal,203.54,Exxon,Charlotte
18,589,2/24/2021,Withdrawal,205.68,Costco,Charlotte
19,229,2/14/2024,Deposit,166.09,Exxon,Philadelphia
20,1419,10/3/2022,Transfer,295.94,Starbucks,Chicago
21,1221,2/18/2020,Payment,185.41,Apple,Miami
22,274,2/5/2022,Payment,123.05,Google,Miami
23,590,1/30/2020,Transfer,137.83,Costco,Chicago
24,653,3/25/2020,Deposit,449.4,Apple,Houston
25,583,2/27/2022,Payment,208.89,Walmart,Atlanta
26,968,3/5/2024,Payment,443.73,Shell,Cleveland
27,372,4/18/2024,Deposit,56.56,Google,Cleveland
28,1104,11/24/2020,Payment,103.16,Target,Los Angeles
29,1259,9/1/2021,Transfer,127.52,Exxon,Atlanta
30,1311,3/9/2021,Transfer,187.68,Target,Los Angeles
31,819,8/10/2021,Deposit,92.82,Home Depot,Charlotte
32,572,9/6/2024,Deposit,180.76,Starbucks,Philadelphia
33,545,6/26/2023,Transfer,230.19,Costco,Atlanta
34,1461,3/3/2023,Deposit,350.77,Starbucks,Los Angeles
35,127,11/20/2021,Transfer,1.44,Walmart,Philadelphia
36,733,10/20/2023,Transfer,339.34,Costco,Los Angeles
37,417,10/29/2024,Transfer,310.81,Home Depot,New York
38,638,5/17/2024,Payment,53.87,Exxon,Houston
39,41,12/8/2024,Deposit,81.73,Starbucks,Houston
40,787,2/28/2021,Payment,253.78,Google,Miami
41,1493,12/9/2023,Deposit,105.5,Google,Cleveland
42,297,2/8/2022,Withdrawal,405.65,Walmart,New York
43,42,8/6/2024,Payment,199.01,Costco,Cleveland
44,632,5/26/2021,Payment,18.55,Google,Charlotte
45,1303,11/9/2023,Payment,32.44,Apple,Miami
46,1483,11/12/2023,Withdrawal,23.5,Walmart,Cleveland
47,33,10/8/2022,Deposit,184.27,Home Depot,Los Angeles
48,1300,1/12/2024,Withdrawal,191.4,Amazon,Houston
49,665,7/17/2021,Deposit,276.91,Shell,Atlanta
50,1114,10/29/2020,Deposit,389.43,Starbucks,New York
51,616,4/8/2020,Deposit,201.82,Shell,Chicago
52,948,8/22/2023,Deposit,390.09,Apple,Atlanta
53,160,7/10/2021,Deposit,90.64,Amazon,Chicago
54,458,2/11/2020,Withdrawal,20.81,Apple,Los Angeles
55,399,9/17/2022,Payment,318.98,Starbucks,Houston
56,1115,4/12/2021,Withdrawal,308.7,Amazon,Detroit
57,581,3/15/2021,Payment,237.98,Home Depot,New York
58,1490,11/22/2020,Payment,302.19,Walmart,Detroit
59,220,7/22/2021,Transfer,146.29,Costco,Houston
60,1443,2/2/2020,Payment,129.58,Amazon,Charlotte
61,379,2/15/2021,Withdrawal,367.83,Home Depot,Chicago
62,930,7/7/2024,Transfer,161.29,Starbucks,Los Angeles
63,1471,3/22/2022,Deposit,297.57,Exxon,Atlanta
64,964,2/11/2023,Deposit,590.4,Apple,New York
65,1170,5/22/2021,Payment,353.34,Home Depot,Charlotte
66,233,2/25/2020,Deposit,145.98,Shell,Charlotte
67,1395,4/28/2024,Deposit,64.95,Walmart,Philadelphia
68,922,10/13/2024,Transfer,307.38,Starbucks,Miami
69,234,10/7/2023,Withdrawal,103.51,Starbucks,Charlotte
70,726,9/14/2023,Deposit,81.53,Amazon,Charlotte
71,367,6/29/2021,Deposit,88.96,Exxon,Houston
72,481,7/17/2023,Withdrawal,181.89,Target,Detroit
73,1387,7/14/2020,Transfer,241.25,Starbucks,Philadelphia
74,590,2/16/2021,Transfer,70.58,Walmart,Miami
75,1119,9/28/2021,Deposit,357.9,Home Depot,New York
76,216,1/7/2023,Payment,412.74,Apple,Detroit
