payment_id,loan_id,payment_date,payment_amount,payment_status
1,388,9/18/2024,727.62,On-Time
2,481,4/28/2021,179.34,On-Time
3,239,8/13/2023,741.7,On-Time
4,35,11/30/2023,693.15,Late
5,315,1/1/2021,841.27,Late
6,42,11/15/2020,369.73,Late
7,127,5/12/2023,665.49,On-Time
8,218,2/18/2020,525.54,On-Time
9,357,9/21/2021,253.49,Late
10,86,9/14/2024,618.2,On-Time
11,203,6/15/2024,229.68,On-Time
12,49,9/27/2020,546.19,On-Time
13,474,7/25/2024,568.31,On-Time
14,297,7/29/2024,470,On-Time
15,333,4/23/2021,647.12,On-Time
16,206,7/20/2024,317.56,On-Time
17,105,12/11/2020,424.04,On-Time
18,49,1/12/2022,935.51,On-Time
19,71,4/26/2022,485.98,On-Time
20,464,7/30/2020,490.4,On-Time
21,84,7/1/2022,430.02,Missed
22,493,6/10/2022,805.23,On-Time
23,174,6/1/2023,677.53,On-Time
24,320,3/25/2024,387.36,On-Time
25,434,3/20/2020,648.53,Missed
26,252,4/21/2020,809.82,On-Time
27,427,12/22/2024,721.8,On-Time
28,155,10/4/2020,771.94,On-Time
29,290,2/2/2021,931.16,On-Time
30,214,5/26/2021,346.81,On-Time
31,191,5/12/2024,698.94,On-Time
32,358,2/2/2022,446.63,On-Time
33,101,11/27/2020,437.6,On-Time
34,195,6/15/2020,631.91,On-Time
35,155,6/17/2022,387.37,Late
36,7,3/19/2021,564.43,On-Time
37,483,9/12/2024,860.2,On-Time
38,493,12/2/2023,759.85,On-Time
39,123,1/2/2024,335.24,On-Time
40,279,5/28/2021,287.51,On-Time
41,450,9/27/2024,551.9,On-Time
42,127,2/10/2021,475.67,On-Time
43,216,11/6/2023,711.78,Missed
44,386,12/18/2022,389.47,Late
45,242,7/22/2021,647.44,On-Time
46,164,9/9/2022,678.06,On-Time
47,314,12/12/2021,580.63,Late
48,465,12/20/2023,610.58,On-Time
49,11,7/1/2024,989.38,On-Time
50,263,3/9/2023,567.96,On-Time
51,322,7/19/2020,767.5,On-Time
52,463,5/29/2024,374.98,Late
53,366,8/24/2020,477.16,On-Time
54,287,4/23/2021,432.27,On-Time
55,46,3/16/2024,788.83,On-Time
56,326,5/8/2024,691.86,On-Time
57,254,1/29/2022,760.86,On-Time
58,229,3/21/2022,582.94,On-Time
59,494,8/15/2022,281.74,Late
60,309,6/2/2021,699.76,On-Time
61,349,2/15/2021,664.34,On-Time
62,68,1/21/2022,823.38,On-Time
63,46,12/2/2024,711.93,On-Time
64,293,2/26/2022,634.89,On-Time
65,332,7/26/2022,685.08,On-Time
66,155,4/22/2024,779.68,On-Time
67,281,12/2/2021,769.58,On-Time
68,493,4/23/2022,512.07,On-Time
69,12,11/29/2024,317.3,On-Time
70,188,3/25/2023,742.26,On-Time
71,17,1/12/2020,601.81,On-Time
72,434,11/17/2024,557.98,On-Time
73,460,4/27/2022,813.85,On-Time
74,128,6/20/2020,554.14,On-Time
75,351,3/30/2024,684.57,Late
76,119,10/29/2023,871.58,Late
77,9,11/6/2020,693.26,On-Time
78,211,1/23/2023,455.99,On-Time
79,118,9/1/2020,535.18,On-Time
80,29,12/3/2020,612.71,Missed
81,117,12/2/2024,728.78,On-Time
82,384,3/4/2020,701.64,On-Time
83,409,12/21/2021,476.48,On-Time
84,399,12/27/2021,704.76,On-Time
85,393,4/19/2024,1278.82,On-Time
86,141,4/10/2021,662.22,On-Time
87,303,1/11/2020,490.81,On-Time
88,428,3/1/2022,851.51,On-Time
89,234,8/29/2023,459.19,On-Time
90,131,1/9/2023,877.72,On-Time
91,378,5/24/2024,566.18,On-Time
92,458,9/10/2022,721.06,On-Time
93,402,1/4/2021,482.31,On-Time
94,394,4/3/2023,690.85,On-Time
95,164,12/22/2022,670.26,On-Time
96,380,3/20/2020,805.51,Missed
97,476,11/18/2022,530.74,On-Time
98,185,10/16/2022,859.68,On-Time
99,259,3/3/2024,689.36,On-Time
100,404,9/1/2024,179,On-Time
101,402,8/18/2024,661.29,Missed
102,433,1/14/2024,115.62,On-Time
103,165,6/29/2024,331.47,On-Time
104,20,9/10/2022,538.61,On-Time
105,330,9/30/2020,245.03,On-Time
106,482,8/1/2022,442.18,On-Time
107,448,11/25/2023,577.37,On-Time
108,278,8/28/2020,579.32,On-Time
109,149,9/15/2023,410.35,On-Time
110,225,6/6/2023,624.47,On-Time
111,336,10/26/2021,870.59,Late
112,490,12/21/2020,579.77,On-Time
113,419,2/27/2024,491.87,Missed
114,100,10/30/2020,675.62,On-Time
115,385,12/8/2020,392.21,On-Time
116,380,6/26/2020,814.23,On-Time
117,396,11/8/2022,838.4,On-Time
118,13,9/16/2023,986.19,On-Time
119,251,11/30/2022,699.89,On-Time
120,8,9/17/2020,389.38,Missed
121,371,7/9/2023,802.52,Late
122,159,1/21/2021,282.98,Missed
123,261,10/27/2020,841.77,On-Time
124,128,6/7/2023,629.19,Late
125,172,8/9/2021,500.91,Late
126,307,9/20/2024,518.59,On-Time
127,356,2/9/2023,564.49,Late
128,495,12/28/2020,827.27,On-Time
129,153,1/15/2022,230.49,On-Time
130,429,6/24/2020,682.18,On-Time
131,13,2/11/2021,760.55,On-Time
132,419,10/21/2023,382.76,On-Time
133,32,7/13/2021,949.04,Late
134,456,2/13/2021,841.84,On-Time
135,406,6/25/2020,461.4,On-Time
136,134,2/6/2024,645.5,On-Time
137,49,10/17/2024,408.02,On-Time
138,267,1/13/2022,523.2,Late
139,71,1/2/2024,288.68,Missed
140,143,6/18/2022,610.95,On-Time
141,68,2/18/2020,347.92,On-Time
142,168,6/21/2024,402.32,On-Time
143,418,3/22/2022,687.44,On-Time
144,248,12/25/2024,663.08,On-Time
145,363,10/8/2020,419.21,On-Time
146,104,1/30/2024,304.62,On-Time
147,214,4/13/2021,714.47,Late
148,158,5/19/2023,739.28,On-Time
149,275,2/24/2023,805.24,On-Time
150,101,10/18/2022,806.17,On-Time
151,114,9/2/2023,670.73,On-Time
152,446,10/22/2020,567.14,On-Time
153,318,9/5/2021,488.17,On-Time
154,166,11/8/2022,720.03,On-Time
155,30,12/22/2021,411.53,On-Time
156,32,10/15/2021,688.55,On-Time
157,339,8/7/2023,264.32,On-Time
158,116,4/29/2022,723.57,Late
159,409,3/16/2023,645.61,On-Time
160,101,1/17/2023,425.5,Late
161,365,4/26/2022,584.14,On-Time
162,87,8/27/2020,577.57,On-Time
163,12,6/17/2022,938.37,On-Time
164,265,5/4/2022,548.1,On-Time
165,381,12/28/2023,658.27,Late
166,421,11/7/2024,701.2,Missed
167,273,10/13/2021,546.32,On-Time
168,498,1/24/2023,904.19,On-Time
169,419,10/7/2022,623.97,Late
170,499,6/30/2020,154.85,On-Time
171,495,5/9/2022,606.88,On-Time
172,369,1/7/2022,1039.4,On-Time
173,361,7/11/2020,500.2,On-Time
174,478,3/7/2023,684.49,On-Time
175,377,1/4/2021,468.17,On-Time
176,60,12/23/2024,568.43,On-Time
177,260,5/30/2024,830.89,On-Time
178,425,5/7/2021,754,On-Time
179,452,5/17/2022,665.61,On-Time
180,472,6/22/2023,624.13,On-Time
181,387,5/14/2022,572.45,On-Time
182,137,11/29/2023,651.85,Late
183,267,3/17/2023,828.16,On-Time
184,480,1/4/2021,601.62,On-Time
185,235,10/18/2021,661.58,On-Time
186,500,4/25/2020,374.15,On-Time
187,255,8/18/2023,432.04,On-Time
188,317,7/18/2022,879.73,On-Time
189,488,4/25/2022,767.6,On-Time
190,349,3/25/2024,700.84,On-Time
191,226,4/30/2020,821.15,On-Time
192,368,8/10/2024,664.03,On-Time
193,98,8/15/2022,659.55,On-Time
194,277,6/4/2023,529.92,On-Time
195,25,12/31/2021,650.82,On-Time
196,469,3/19/2020,385.18,Late
197,62,9/5/2022,418.29,On-Time
198,84,10/1/2023,439.87,On-Time
199,24,5/19/2020,926,On-Time
200,197,4/8/2024,598.4,Missed
201,425,3/31/2022,671.45,On-Time
202,441,1/9/2022,477.27,On-Time
203,66,10/15/2020,568,On-Time
204,250,11/24/2020,500.2,On-Time
205,265,5/21/2022,351.32,On-Time
206,235,12/24/2023,440.36,On-Time
207,136,4/9/2020,277.59,On-Time
208,126,6/12/2024,640.75,On-Time
209,96,10/27/2022,793.69,Late
210,314,4/9/2023,528.65,On-Time
211,327,7/10/2023,699.57,On-Time
212,38,1/6/2021,544.67,On-Time
213,148,6/27/2021,772.14,On-Time
214,47,12/25/2021,570.97,On-Time
215,79,5/11/2021,893.91,Late
216,487,12/18/2022,520.42,Late
217,28,11/30/2020,931.83,On-Time
218,479,1/30/2020,325.54,On-Time
219,444,7/7/2023,625.12,On-Time
220,278,4/18/2024,486.2,On-Time
221,232,3/6/2023,694.84,On-Time
222,113,11/11/2020,353.47,On-Time
223,179,4/4/2021,403.57,On-Time
224,280,1/3/2022,463.45,On-Time
225,226,12/2/2023,442.54,On-Time
226,73,7/8/2024,542.3,On-Time
227,61,4/21/2023,252.09,Late
228,2,9/3/2020,687.34,On-Time
229,365,11/18/2022,735.89,Late
230,89,8/26/2023,191.62,Late
231,460,6/27/2020,786.99,On-Time
232,439,3/8/2024,392.68,On-Time
233,4,11/1/2023,496.89,On-Time
234,499,10/4/2020,594.4,On-Time
235,232,2/15/2024,521.3,On-Time
236,58,7/23/2023,394.45,On-Time
237,127,8/9/2023,464.61,On-Time
238,269,2/25/2023,575.14,On-Time
239,221,11/3/2024,529.1,On-Time
240,224,11/2/2020,487.02,On-Time
241,155,1/1/2023,510.62,On-Time
242,30,1/7/2021,703.47,On-Time
243,110,12/26/2021,593.77,On-Time
244,359,3/9/2021,289.15,On-Time
245,378,10/9/2024,614.14,Late
246,252,12/21/2022,796.31,On-Time
247,318,11/22/2024,640.29,On-Time
248,193,12/3/2022,884.54,Late
249,11,10/25/2023,268.2,On-Time
250,343,12/19/2024,512.89,On-Time
251,433,5/10/2022,981.74,On-Time
252,17,6/6/2021,699.8,On-Time
253,399,11/24/2021,323.99,Missed
254,155,11/25/2021,699.82,Late
255,117,3/1/2020,555.52,On-Time
256,394,4/27/2021,763.66,On-Time
257,464,4/18/2023,550.9,Late
258,229,7/16/2024,784.3,Late
259,412,1/22/2020,566.61,On-Time
260,386,5/29/2021,657.2,Late
261,487,1/20/2022,873.46,On-Time
262,291,12/16/2021,637.77,On-Time
263,399,10/18/2022,365.54,Late
264,187,4/12/2022,403.82,On-Time
265,459,1/27/2022,849.07,On-Time
266,161,9/17/2024,162.02,Missed
267,55,11/13/2021,450.16,On-Time
268,208,5/7/2022,1176.91,On-Time
269,331,9/20/2022,529.85,Late
270,468,7/26/2021,664.75,Late
271,52,10/4/2023,444.8,On-Time
272,19,5/7/2024,689.25,On-Time
273,423,11/3/2021,752.4,On-Time
274,242,8/11/2020,528.88,On-Time
275,471,6/20/2021,617.83,Late
276,188,11/1/2020,372.28,On-Time
277,10,10/29/2020,493.85,On-Time
278,456,9/25/2021,601.38,On-Time
279,322,9/17/2024,990.8,On-Time
280,440,10/11/2023,313.49,Missed
281,7,7/31/2021,705.31,On-Time
282,90,10/8/2024,793.79,On-Time
283,168,7/16/2023,537.43,On-Time
284,403,1/15/2020,734.18,Late
285,198,6/1/2021,813.77,Late
286,481,9/9/2020,995.89,Late
287,375,1/13/2023,962.64,On-Time
288,384,4/26/2024,172.98,Late
289,11,12/30/2021,498.07,On-Time
290,52,6/11/2020,686.83,On-Time
291,356,6/14/2023,626.9,On-Time
292,140,1/10/2023,757.82,On-Time
293,220,2/12/2022,656.18,On-Time
294,190,8/12/2021,657.22,On-Time
295,329,2/5/2021,627.51,On-Time
296,151,3/21/2022,678.3,Late
297,296,5/27/2020,717.97,On-Time
298,198,9/1/2022,704.46,Late
299,306,12/31/2023,101.27,On-Time
300,64,7/2/2024,365.2,On-Time
301,147,5/2/2024,619.8,On-Time
302,212,3/24/2023,714.26,On-Time
303,274,5/30/2024,699.13,On-Time
304,411,5/8/2020,244.19,On-Time
305,97,4/28/2020,435.02,On-Time
306,93,7/17/2023,658.41,On-Time
307,329,2/19/2021,735.27,On-Time
308,493,4/14/2022,657.1,On-Time
309,300,10/30/2022,615.98,On-Time
310,314,12/4/2023,675.47,Missed
311,62,5/31/2023,737.7,Missed
312,434,4/21/2022,224.79,Late
313,91,5/19/2024,489.77,On-Time
314,309,6/26/2020,694.07,On-Time
315,359,4/15/2023,549.59,On-Time
316,61,6/27/2021,611.5,On-Time
317,459,7/30/2021,487.17,Late
318,306,11/15/2022,502.91,On-Time
319,54,5/5/2023,636.11,On-Time
320,298,12/4/2023,361.7,Late
321,187,1/11/2022,643.31,On-Time
322,264,12/24/2022,458.93,On-Time
323,398,2/10/2024,227.92,On-Time
324,238,11/11/2024,777.97,On-Time
325,269,1/30/2021,923.47,On-Time
326,199,2/16/2024,642.37,On-Time
327,335,8/14/2024,647.35,On-Time
328,358,7/26/2022,506.55,On-Time
329,428,7/1/2020,885.44,On-Time
330,299,6/12/2024,926.14,On-Time
331,248,9/20/2020,643.27,Late
332,256,9/20/2024,859.25,On-Time
333,402,1/27/2020,617.4,On-Time
334,420,6/28/2023,593.85,On-Time
335,159,5/22/2021,627.17,Late
336,388,12/3/2021,525.8,On-Time
337,333,5/7/2020,960.29,Late
338,295,12/10/2023,821.71,On-Time
339,94,4/7/2022,425.66,On-Time
340,183,2/22/2021,665.86,On-Time
341,19,8/6/2024,630.92,On-Time
342,196,12/14/2023,723.33,On-Time
343,65,4/3/2022,575.57,On-Time
344,296,8/20/2024,444.25,On-Time
345,352,6/6/2023,404.39,On-Time
346,204,6/11/2022,521.78,On-Time
347,76,6/27/2021,705.72,On-Time
348,212,1/7/2023,723.52,On-Time
349,459,2/27/2022,933.21,On-Time
350,245,12/15/2022,67.21,On-Time
351,373,5/10/2022,937.2,Late
